Location and facility name,,Code for the location to be declared in Data Element 5/23
Aberdeen 410," Grampian Continental Ltd, Birchwood Works, Kinellar, Aberdeen, AB21 0SH",GBAUBA5ABDCGD
Aberdeen 410,"Panalpina World Transport Ltd, Mugiemoss Road, Bucksburn, Aberdeen, AB21 9NP",GBAUZAHABZXCQ
"Belfast 516, ","DHL International (UK) Ltd, Unit 3B, Edgewater Road, Belfast, BT3 9JQ",GBAUBELBFSXXX
Birmingham 011,"Davies Turner & Co Ltd, West Midlands Freight Terminal, Station Road, Birmingham, B46 1DT",GBAUCLLBHXXAD
Birmingham 011,"DHL Global Forwarding (UK) Ltd, Unit 1, Starley Way, Bickenhill Road, Elmdon, Birmingham, B37 7BH",GBAUSOLBHXXBW
Birmingham 011,"Hellman Worldwide Logistics Ltd, Kuhlmann House, Lancaster Way, Fradley Park, Lichfield, WS13 8SX",GBAULHFBHXXCR
Bristol 033,"Davies Turner & Co Ltd, Western Freight Terminal, Fifth Way, Avonmouth, BS11 8DT",GBAUAVOBRSXAD
Dover 060,"Channel Ports Ltd, Stop 24, Folkestone Services, Junction 11, M20, Stanford Intersection, Stanford, CT21 4BL",GBAUANFDOGWSP
Dover 060,"Motis Ireland Ltd, Freight Clearance Centre, Western Docks, Dover, Kent, CT17 9DN",GBAUDVRDOGWDG
Dover 060,"Nagel Langdons Limited, 1 Palmerston Road, Port Zone, Dover, Kent, CT16 3NF",GBAUDVRDOGWNL
Dover 060,"Sealane Freight Ltd, The Freight Terminal, Lydden Hill, Dover, Kent, CT15 7JW",GBAULY9DOGWSE
Edinburgh 436,"DHL International (UK) Ltd, Unit 2 Chariot Drive, Newbridge, Edinburgh, EH28 8PA",GBAUNWBEDIXXX
Gatwick 120,"Allport Cargo Services Ltd, Unit 2, The Faraday Centre, Faraday Road, Crawley, West Sussex, RH10 2PX",GBAUCWYLGWXBB
Glasgow 444,"Airsea Scotland, Eagle House, 159 Wright Street, Renfrew, PA4 8AN",GBAURENGLAXBS
Glasgow 444,"Bullet Express Ltd, 99 Baillieston Road, Glasgow. G32 0TF",GBAUBTIGRKBXD
Glasgow 444,"Bullet Express Ltd, Bullet House, 5 Ashley Drive, Bothwell. G71 8BS",GBAUBWLGRKBLD
Glasgow 444,"Davies Turner & Co Ltd, 7 Grayshill Road, Westfield North, Cumbernauld, Glasgow, G68 9HQ",GBAUCLDGLAXAD
Glasgow 444,"DHL Global Forwarding (UK) Ltd, 2 Campsie Drive, Glasgow Airport, Paisley, PA3 2SE",GBAUPASGLAXCN
Glasgow 444," DHL International (UK) Ltd, Phoenix Industrial Estate, West Avenue, Paisley, PA1 2FB",GBAUPASGLAXXX
Glasgow 444,"Glasgow Prestwick Bond Ltd, Glasgow Prestwick Freight Centre, Prestwick Airport, Ayrshire, KA9 2PL",GBAUPIKPIKGPS
Heathrow 120,"Air Menzies International Ltd, Unit 2B, Polar Park, Bath Road, Heathrow, UB7 0DA",GBAULHRLHRXBN
Heathrow 120,"Allport Ltd, Hayes Road, Southall, Middlesex, UB2 5NJ",GBAUSLLLHRXBB
Heathrow 120 ,"Azerbaijan Airlines UK Ltd, T/A ASC Cargo Handling, Unit 8 Radius Park, St Theresa's Road, Hatton Cross, Feltham, Middlesex, TW14 0NG",GBAUFEMLHRXCY
Heathrow 120 ,"Bollore' Logistics UK Ltd, 673 Spur Road, North Feltham Trading Estate, Feltham, Middlesex, TW14 0SL",GBAUFEMLHRXCB
Heathrow 120 ,"Brinks Ltd, Unit 1, Radius Park, Faggs Road, Hatton Cross, Feltham, TW14 0NG",GBAUFEMLHRXBF
Heathrow 120,"Ceva Freight Ltd, Heathrow Gateway, Godfrey Way, Hounslow, Middlesex, TW4 5WY",GBAUHOULHRXCU
Heathrow 120,"Cosmotrans International Ltd, 9 Felthambrook Industrial Estate, Felthambrook Way, Feltham, Middlesex, TW13 7DU",GBAUFEMLHRXBK
Heathrow 120,"Davies Turner Air Cargo Ltd, Unit A1, Calder Way, Horton Road, Colnbrook, Slough, SL3 0BQ",GBAUCBRLHRXAD
Heathrow 120,"DHL Global Forwarding (UK) Ltd, Danzas House, Kestrel Way, Dawley Road, Hayes, UB3 1HJ",GBAUHMILHRXBW
Heathrow 120,"DHL International (UK) Ltd, Southern Hub Facility, Horton Road, Colnbrook, Slough, SL3 0BB",GBAUCBRLHRXXD
Heathrow 120," DHL International (UK) Ltd, Unit 14, Island Road, Reading, RG2 0RP",GBAURDNLHRXXX
Heathrow 120," Dunwoody Airline Services, Building 875 & 1081, Scylla Road, Heathrow Airport, Hounslow, Middlesex, TW4 6BG",GBAUHOULHRXBQ
Heathrow 120,"ECMS Express (UK) Ltd, 241 Gresham Road, Slough Trading Estate, Slough, SL1 4RN",GBAUSLOLHRXBA
Heathrow 120 ,"Geodis FF United Kingdom Ltd, Action Court, Ashford Road, Ashford, Middlesex, TW15 1XS",GBAUASFLHRXCZ
Heathrow 120,"Geodis FF United Kingdom Ltd, LHR1, 145 Faggs Road, Feltham, Middlesex, TW14 0LZ",GBAUFEMLHRXDA
Heathrow 120 ,"Heathrow Cargo Handling Ltd, HCH House, Horton Road, Colnbrook, Slough, SL3 0AT",GBAUCBRLHRXBU
Heathrow 120 ,"Hellman Worldwide Logistics Ltd, Unit 6, Hurricane Way, Axis Park, Langley, Slough, SL3 8AG",GBAUCBRLHRXCR
Heathrow 120 ,"Heavyweight Air Express Ltd, Unit 1, Pier Road Industrial Estate, North Feltham Trading Estate, Feltham, TW14 0TW",GBAUFEMLHRXCK
