code,en,cy
43,"Bag, super bulk","Bag, super bulk"
44,"Bag, polybag","Bag, polybag"
1A,"Drum, steel","Drum, steel"
1B,"Drum, aluminium","Drum, aluminium"
1D,"Drum, plywood","Drum, plywood"
1F,"Container, flexible","Container, flexible"
1G,"Drum, fibre","Drum, fibre"
1W,"Drum, wooden","Drum, wooden"
2C,"Barrel, wooden","Barrel, wooden"
3A,"Jerrican, steel","Jerrican, steel"
3H,"Jerrican, plastic","Jerrican, plastic"
4A,"Box, steel","Box, steel"
4B,"Box, aluminium","Box, aluminium"
4C,"Box, natural wood","Box, natural wood"
4D,"Box, plywood","Box, plywood"
4F,"Box, reconstituted wood","Box, reconstituted wood"
4G,"Box, fibreboard","Box, fibreboard"
4H,"Box, plastic","Box, plastic"
5H,"Bag, woven plastic","Bag, woven plastic"
5L,"Bag, textile","Bag, textile"
5M,"Bag, paper","Bag, paper"
6H,"Composite packaging, plastic receptacle","Composite packaging, plastic receptacle"
6P,"Composite packaging, glass receptacle","Composite packaging, glass receptacle"
7A,"Case, car","Case, car"
7B,"Case, wooden","Case, wooden"
8A,"Pallet, wooden","Pallet, wooden"
8B,"Crate, wooden","Crate, wooden"
8C,"Bundle, wooden","Bundle, wooden"
AA,"Intermediate bulk container, rigid plastic","Intermediate bulk container, rigid plastic"
AB,"Receptacle, fibre","Receptacle, fibre"
AC,"Receptacle, paper","Receptacle, paper"
AD,"Receptacle, wooden","Receptacle, wooden"
AE,Aerosol,Aerosol
AF,"Pallet, modular, collars 80cms * 60cms","Pallet, modular, collars 80cms * 60cms"
AG,"Pallet, shrinkwrapped","Pallet, shrinkwrapped"
AH,"Pallet, 100cms * 110cms","Pallet, 100cms * 110cms"
AI,Clamshell,Clamshell
AJ,Cone,Cone
AL,Ball,Ball
AM,"Ampoule, non-protected","Ampoule, non-protected"
AP,"Ampoule, protected","Ampoule, protected"
AT,Atomizer,Atomizer
AV,Capsule,Capsule
B4,Belt,Belt
BA,Barrel,Barrel
BB,Bobbin,Bobbin
BC,Bottlecrate / bottlerack,Bottlecrate / bottlerack
BD,Board,Board
BE,Bundle,Bundle
BF,"Balloon, non-protected","Balloon, non-protected"
BG,Bag,Bag
BH,Bunch,Bunch
BI,Bin,Bin
BJ,Bucket,Bucket
BK,Basket,Basket
BL,"Bale, compressed","Bale, compressed"
BM,Basin,Basin
BN,"Bale, non-compressed","Bale, non-compressed"
BO,"Bottle, non-protected, cylindrical","Bottle, non-protected, cylindrical"
BP,"Balloon, protected","Balloon, protected"
BQ,"Bottle, protected cylindrical","Bottle, protected cylindrical"
BR,Bar,Bar
